,Tờ khai,Ngày đăng ký,Tên nơi mở tờ khai,Mã doanh nghiệp XNK,Tên doanh nghiệp XNK,Đơn vị đối tác,Mã hàng khai báo,Số thứ tự hàng,Tên hàng,Đơn giá khai báo(USD),Đơn giá NT khai báo,Đơn giá điều chỉnh(USD),Đơn giá NT điều chỉnh,PP khai báo,PP áp giá,Nguyên tệ,Tỷ giá nguyên tệ,Tỷ giá USD,Lượng,Đơn vị tính,Tên nuớc xuất xứ,Số hợp đồng,Ngày hợp đồng,Mã phương thức thanh toán,Điều kiện giao hàng,Mã phương tiện vận chuyển,Phương tiện vận chuyển,Kiểm tra giá cấp Tổng cục,Kiểm tra giá cấp Cục,Kiểm tra giá cấp Chi cục,Thuế suất XNK,Thuế suất TTĐB,Thuế suất VAT,Thuế suất tự vệ,Thuế XNK,Thuế TTĐB,Thuế VAT,Thuế môi trường,Thuế tự vệ,Xếp hạng DN,Trạng thái,Kết quả kiểm tra STQ,Nước nhập khẩu,Ngày KTG chi cục,Kết quả TVG chi cục,Kết quả TVG cục,Mặt hàng,Nhãn hiệu,Model
312,105635123420/A11/15BC,2023-08-07,CHIMALS,'4900893089,CôNG TY TNHH HồNG Hà LS,"PINGXIANG SANSHUN TRADE CO, LTD",'84295200,3,"Máy đào bánh xích, Nhãn hiệu: KOBELCO, mã kiểu loại: SK200, số khung: YNC2513, số máy: 6D34088860, công suất 110kW, tốc độ quay 2000rpm, tự trọng 19400kg. Hàng đã qua sử dụng",6470.0,6470.0,,,G1,,USD,23580.0,23580,1,PCE,CN,HHSANSHUN-08,2023-01-08,TTR,DAF,4,4-Đường bộ (xe tải),,,,0,0,8,0,0.0,0.0,12205008.0,0,0,,,,VN,,,,MÁY ĐÀO BÁNH XÍCH,KOBELCO,SK200
313,105634406360/A11/02CI,2023-08-07,CSGONKVI,'3703022299,CôNG TY TNHH Cơ GIớI VĩNH HưNG,JEN CORP (JAPAN EQUIPMENT NETWORKS & CORP),'84295200,1,"Máy đào bánh xích (có cơ cấu xoay 360 độ) Hiệu SUMITOMO,model: SH75X-3, động cơ Diesel, đã qua sử dụng",2766.7515,400000.0,2766.7515,400000.0,G1,G1,JPY,163.1,23580,1,UNIT,JP,JJ-10847908-2310025-1,2023-07-20,TTR,CIF,2,2-Đường biển (container),,,Không nghi vấn – chấp nhận trị giá khai báo,0,0,8,0,0.0,0.0,5219200.0,0,0,,Bình thường,,VN,2023-08-08,,,MÁY ĐÀO BÁNH XÍCH (CÓ CƠ CẤU XOAY 360 ĐỘ),SUMITOMO,SH75X-3
314,105635123420/A11/15BC,2023-08-07,CHIMALS,'4900893089,CôNG TY TNHH HồNG Hà LS,"PINGXIANG SANSHUN TRADE CO, LTD",'84295200,1,"Máy đào bánh xích, Nhãn hiệu: KOMATSU, mã kiểu loại: PC200-6, số khung: PC2006DB60549, số máy: 6D10226279224, công sất 99,3kW, tốc độ quay 2000rpm, tự trọng 19400kg . Hàng ĐQSD, năm sx không xác định",6470.0,6470.0,,,G1,,USD,23580.0,23580,1,PCE,CN,HHSANSHUN-08,2023-01-08,TTR,DAF,4,4-Đường bộ (xe tải),,,,0,0,8,0,0.0,0.0,12205008.0,0,0,,,,VN,,,,MÁY ĐÀO BÁNH XÍCH,KOMATSU,PC200-6
315,105635123420/A11/15BC,2023-08-07,CHIMALS,'4900893089,CôNG TY TNHH HồNG Hà LS,"PINGXIANG SANSHUN TRADE CO, LTD",'84295200,4,"Máy đào bánh xích, Nhãn hiệu: HITACHI, mã kiểu loại: ZX200-HHE, số khung: HHEAWJ00C00102327, số máy: 6BG1149143, công suất 110kW, tốc độ quay 2100rpm, tự trọng 19400kg. Hàng ĐQSD năm sx không xác định",6470.0,6470.0,,,G1,,USD,23580.0,23580,1,PCE,CN,HHSANSHUN-08,2023-01-08,TTR,DAF,4,4-Đường bộ (xe tải),,,,0,0,8,0,0.0,0.0,12205008.0,0,0,,,,VN,,,,MÁY ĐÀO BÁNH XÍCH,HITACHI,ZX200-HHE
316,105635123420/A11/15BC,2023-08-07,CHIMALS,'4900893089,CôNG TY TNHH HồNG Hà LS,"PINGXIANG SANSHUN TRADE CO, LTD",'84295200,2,"Máy đào bánh xích, Nhãn hiệu: KOMATSU, mã kiểu loại: PC300-6, số khung: PC30030712, số máy: 6D10823492, công suất 172,8kW,tốc độ quay 2050rpm, tự trọng 30800kg. Hàng đã ĐQSD năm sx không xác định",9000.0,9000.0,,,G1,,USD,23580.0,23580,1,PCE,JP,HHSANSHUN-08,2023-01-08,TTR,DAF,4,4-Đường bộ (xe tải),,,,0,0,8,0,0.0,0.0,16977600.0,0,0,,,,VN,,,,MÁY ĐÀO BÁNH XÍCH,KOMATSU,PC300-6
317,105636861960/A11/03EE,2023-08-08,CDINHVUHP,'0103726428,Công ty cổ phần xuất nhập khẩu Thạch Sơn,TOMIYA CORPORATION,'84295900,1,"Máy đào bánh xích đã qua sử dụng hiệu HITACHI, Model: ZX30UR-3, Serial: HCM1YE00J00036240 động cơ diesel sản xuất năm 2014",2263.9707,320000.0,,,G1,,JPY,163.1,23580,1,PCE,JP,TOM-23-040N,2023-07-20,KC,FOB,2,2-Đường biển (container),,,,0,0,8,0,0.0,0.0,4270754.4086,0,0,,,,VN,,,,MÁY ĐÀO BÁNH XÍCH ĐÃ QUA SỬ DỤNG,HITACHI,ZX30UR-3
318,105635123420/A11/15BC,2023-08-07,CHIMALS,'4900893089,CôNG TY TNHH HồNG Hà LS,"PINGXIANG SANSHUN TRADE CO, LTD",'84295200,5,"Máy đào bánh xích, Nhãn hiệu: KOBELCO, mã kiểu loại: SK200-8, số khung: YN12H4285, số máy: J05ETAP24042, công suất 114kW, tốc độ quay 2000rpm, tự trọng 20600kg. Hàng ĐQSD năm sx không xác định",6870.0,6870.0,,,G1,,USD,23580.0,23580,1,PCE,CN,HHSANSHUN-08,2023-01-08,TTR,DAF,4,4-Đường bộ (xe tải),,,,0,0,8,0,0.0,0.0,12959568.0,0,0,,,,VN,,,,MÁY ĐÀO BÁNH XÍCH,KOBELCO,SK200-8
319,105635123420/A11/15BC,2023-08-07,CHIMALS,'4900893089,CôNG TY TNHH HồNG Hà LS,"PINGXIANG SANSHUN TRADE CO, LTD",'84295200,6,"Máy đào bánh xích, Nhãn hiệu: KOMATSU, mã kiểu loại: PC350-6, số khung: PC350012046, số máy: 6D10828309, công suất 172,8Kw, tốc độ quay 2050rpm, tự trọng 32300kg. Hàng ĐQSD năm sx không xác định",9700.0,9700.0,,,G1,,USD,23580.0,23580,1,PCE,JP,HHSANSHUN-08,2023-01-08,TTR,DAF,4,4-Đường bộ (xe tải),,,,0,0,8,0,0.0,0.0,18298080.0,0,0,,,,VN,,,,MÁY ĐÀO BÁNH XÍCH,KOMATSU,PC350-6
320,105636861960/A11/03EE,2023-08-08,CDINHVUHP,'0103726428,Công ty cổ phần xuất nhập khẩu Thạch Sơn,TOMIYA CORPORATION,'84295900,2,"Máy đào bánh xích đã qua sử dụng hiệu YANMAR, Model: VIO30-6, Serial: 61761 động cơ diesel sản xuất năm 2013",2221.5213,314000.0,,,G1,,JPY,163.1,23580,1,PCE,JP,TOM-23-040N,2023-07-20,KC,FOB,2,2-Đường biển (container),,,,0,0,8,0,0.0,0.0,4190677.7634,0,0,,,,VN,,,,MÁY ĐÀO BÁNH XÍCH ĐÃ QUA SỬ DỤNG,YANMAR,VIO30-6
321,105636861960/A11/03EE,2023-08-08,CDINHVUHP,'0103726428,Công ty cổ phần xuất nhập khẩu Thạch Sơn,TOMIYA CORPORATION,'84295900,3,"Máy đào bánh xích đã qua sử dụng hiệu YANMAR, Model: B6-5, Serial: 50558B động cơ diesel sản xuất năm 2003",2171.9969,307000.0,,,G1,,JPY,163.1,23580,1,PCE,JP,TOM-23-040N,2023-07-20,KC,FOB,2,2-Đường biển (container),,,,0,0,8,0,0.0,0.0,4097255.0108,0,0,,,,VN,,,,MÁY ĐÀO BÁNH XÍCH ĐÃ QUA SỬ DỤNG,YANMAR,B6-5
322,105636861960/A11/03EE,2023-08-08,CDINHVUHP,'0103726428,Công ty cổ phần xuất nhập khẩu Thạch Sơn,TOMIYA CORPORATION,'84295900,4,"Máy đào bánh xích đã qua sử dụng hiệu YANMAR, Model: B3-5, Serial: 51260B động cơ diesel sản xuất năm 2005",1577.7046,223000.0,,,G1,,JPY,163.1,23580,1,PCE,JP,TOM-23-040N,2023-07-20,KC,FOB,2,2-Đường biển (container),,,,0,0,8,0,0.0,0.0,2976181.9785,0,0,,,,VN,,,,MÁY ĐÀO BÁNH XÍCH ĐÃ QUA SỬ DỤNG,YANMAR,B3-5
323,105636861960/A11/03EE,2023-08-08,CDINHVUHP,'0103726428,Công ty cổ phần xuất nhập khẩu Thạch Sơn,TOMIYA CORPORATION,'84295900,5,"Máy đào bánh xích đã qua sử dụng hiệu YANMAR, Model: VIO30-1, Serial: 12762B động cơ diesel sản xuất năm 1999",1591.8544,225000.0,,,G1,,JPY,163.1,23580,1,PCE,JP,TOM-23-040N,2023-07-20,KC,FOB,2,2-Đường biển (container),,,,0,0,8,0,0.0,0.0,3002874.1936,0,0,,,,VN,,,,MÁY ĐÀO BÁNH XÍCH ĐÃ QUA SỬ DỤNG,YANMAR,VIO30-1
324,105636861960/A11/03EE,2023-08-08,CDINHVUHP,'0103726428,Công ty cổ phần xuất nhập khẩu Thạch Sơn,TOMIYA CORPORATION,'84295900,6,"Máy đào bánh xích đã qua sử dụng hiệu KOBELCO, Model: SK50UR-3, Serial: YJ04-07150 động cơ diesel sản xuất năm 2001",3332.2819,471000.0,,,G1,,JPY,163.1,23580,1,PCE,JP,TOM-23-040N,2023-07-20,KC,FOB,2,2-Đường biển (container),,,,0,0,8,0,0.0,0.0,6286016.6452,0,0,,,,VN,,,,MÁY ĐÀO BÁNH XÍCH ĐÃ QUA SỬ DỤNG,KOBELCO,SK50UR-3
325,105637152610/A11/03CC,2023-08-08,CANGHPKVI,'0109789858,CôNG TY TNHH XUấT NHậP KHẩU MáY XâY DựNG DTC,YANTRALIVE PARTS TECHNOLOGY PVT.LTD,'84294050,1,"Xe lu rung đã qua sử dụng hiệu HAMM. Model: 311 chassis no: WHB0H216PJ0003056, đ/cơ diezel, năm sản xuất: 2018. Xe có lực rung của trống trên 20 tấn.",26000.0,26000.0,,,G1,,USD,23580.0,23580,1,UNIT,IN,IV/EXP23-24/0049,2023-06-20,KC,CIF,2,2-Đường biển (container),,,,0,0,8,0,0.0,0.0,49046400.0,0,0,,,,VN,,,,XE LU RUNG ĐÃ QUA SỬ DỤNG,HAMM,311
326,105635069260/A11/02CI,2023-08-08,CSGONKVI,'0106274057,CôNG TY Cổ PHầN THIếT Bị 365,WEICHAI SINGAPORE PTE LTD,'84291100,3,"Máy ủi bánh xích hiệu WEICHAI, Model: D51, số khung: CHSD13AAJP1006032, động cơ diesel. Hàng mới 100%, năm sx: 2023",52525.0,52525.0,,,G1,,USD,23580.0,23580,1,PCE,CN,VNWMSG23001-2,2023-10-07,KC,CIF,2,2-Đường biển (container),,,,0,0,8,0,0.0,0.0,99083160.0,0,0,,,,VN,,,,MÁY ỦI BÁNH XÍCH,WEICHAI,D51
327,105635069260/A11/02CI,2023-08-08,CSGONKVI,'0106274057,CôNG TY Cổ PHầN THIếT Bị 365,WEICHAI SINGAPORE PTE LTD,'84291100,4,"Máy ủi bánh xích hiệu WEICHAI, Model: D41H, số khung: CHSDH10HJPB000241, động cơ diesel. Hàng mới 100%, năm sx: 2023",57125.0,57125.0,,,G1,,USD,23580.0,23580,1,PCE,CN,VNWMSG23001-2,2023-10-07,KC,CIF,2,2-Đường biển (container),,,,0,0,8,0,0.0,0.0,107760600.0,0,0,,,,VN,,,,MÁY ỦI BÁNH XÍCH,WEICHAI,D41H
328,105635069260/A11/02CI,2023-08-08,CSGONKVI,'0106274057,CôNG TY Cổ PHầN THIếT Bị 365,WEICHAI SINGAPORE PTE LTD,'84295200,2,"Máy đào bánh xích hiệu WEICHAI, Model: WE245E2, số khung: FTC003RHHPC000385, động cơ diesel. Hàng mới 100%, năm sx: 2023",66750.0,66750.0,,,G1,,USD,23580.0,23580,1,PCE,CN,VNWMSG23001-2,2023-10-07,KC,CIF,2,2-Đường biển (container),,,,0,0,8,0,0.0,0.0,125917200.0,0,0,,,,VN,,,,MÁY ĐÀO BÁNH XÍCH,WEICHAI,WE245E2
329,105635069260/A11/02CI,2023-08-08,CSGONKVI,'0106274057,CôNG TY Cổ PHầN THIếT Bị 365,WEICHAI SINGAPORE PTE LTD,'84295200,1,"Máy đào bánh xích hiệu WEICHAI, Model: WE215E2, số khung: FTC003RHEPC000520, động cơ diesel. Hàng mới 100%, năm sx: 2023",57250.0,57250.0,,,G1,,USD,23580.0,23580,1,PCE,CN,VNWMSG23001-2,2023-10-07,KC,CIF,2,2-Đường biển (container),,,,0,0,8,0,0.0,0.0,107996400.0,0,0,,,,VN,,,,MÁY ĐÀO BÁNH XÍCH,WEICHAI,WE215E2
330,105637152610/A11/03CC,2023-08-08,CANGHPKVI,'0109789858,CôNG TY TNHH XUấT NHậP KHẩU MáY XâY DựNG DTC,YANTRALIVE PARTS TECHNOLOGY PVT.LTD,'84294050,2,"Xe lu rung đã qua sử dụng hiệu HAMM. Model: 311, chassis no: WHB0H216TJ0003055, đ/cơ diezel, năm sản xuất: 2018. Xe có lực rung của trống trên 20 tấn.",26000.0,26000.0,,,G1,,USD,23580.0,23580,1,UNIT,IN,IV/EXP23-24/0049,2023-06-20,KC,CIF,2,2-Đường biển (container),,,,0,0,8,0,0.0,0.0,49046400.0,0,0,,,,VN,,,,XE LU RUNG ĐÃ QUA SỬ DỤNG,HAMM,311
331,105638456600/A11/03CC,2023-08-08,CANGHPKVI,'0202147799,CôNG TY TNHH MáY CôNG TRìNH ĐạI NAM,SHIMA COMPANY LTD,'84291100,4,"Máy ủi bánh xích đã qua sử dụng, hiệu: KOMATSU, model: D20P-6, số khung: D20669314, số động cơ: 4D95SW92629, năm sản xuất: chưa xác định, sử dụng động cơ diesel.",6571.0348,950000.0,,,G1,,JPY,163.1,23580,1,PCE,JP,SCTM-23-029,2023-07-26,LC,CIF,2,2-Đường biển (container),,,,0,0,8,0,0.0,0.0,12395600.0,0,0,,,,VN,,,,MÁY ỦI BÁNH XÍCH ĐÃ QUA SỬ DỤNG,KOMATSU,D20P-6
332,105638456600/A11/03CC,2023-08-08,CANGHPKVI,'0202147799,CôNG TY TNHH MáY CôNG TRìNH ĐạI NAM,SHIMA COMPANY LTD,'84295200,1,"Máy đào bánh xích đã qua sử dung, hiệu: HITACHI, model: ZX120, số khung: HCM1S100A00076896, số động cơ: 958038, năm sx chưa xác định. Máy có cơ cấu phần trên quay được 360 độ. Sử dụng động cơ diesel",20058.9483,2900000.0,,,G1,,JPY,163.1,23580,1,PCE,JP,SCTM-23-029,2023-07-26,LC,CIF,2,2-Đường biển (container),,,,0,0,8,0,0.0,0.0,37839200.0,0,0,,,,VN,,,,MÁY ĐÀO BÁNH XÍCH ĐÃ QUA SỬ DUNG,HITACHI,ZX120
